,CharacterName,Sentiment
0,3-D Man,5.694319488817881
1,Abigail Brand,5.496649635036509
2,Abner Jenkins,5.528283922462931
3,Abomination (character),5.594976604278049
4,Abraham Cornelius,5.460057803468219
5,Abraham Whistler,5.480725504861648
6,Absorbing Man,5.617259287338877
7,Achebe (comics),5.465999999999999
8,Adam Warlock,5.671161484453332
9,Adrienne Frost,5.668644470868024
10,Agatha Harkness,5.7813629842180845
11,Agent (comics),5.482091121495328
12,Agent X (Marvel Comics),5.565859676175805
13,Air-Walker,5.833286852589648
14,Al MacKenzie,5.510986717267571
15,Aldrich Killian,5.712071563088516
16,Aleksander Lukin,5.701126373626371
17,Aleta Ogord,
18,Alex Power,5.666363636363637
19,Alex Wilder,5.699622093023259
20,Alexander Bont,5.63357656731758
21,Alexander Goodwin Pierce,5.765
22,Alfie O_Meggan,5.673
23,Alicia Masters,5.828449111470121
24,Alistair Smythe,5.437819732034096
25,Alyssa Moy,5.759386503067489
26,Amadeus Cho,5.493638137719497
27,Amanda Sefton,5.617296181630554
28,Amatsu-Mikaboshi (comics),5.3933333333333335
29,Amelia Voght,5.635916824196604
30,American Dream (comics),5.9238756388416
31,American Eagle (Marvel Comics),5.622084848484841
32,Anaconda (comics),5.465999999999999
33,Ancient One,5.609117647058831
34,Andrew Chord,5.649295081967217
35,Andromeda (Marvel Comics),5.775491651205939
36,Andy Lorimer,5.655000000000001
37,Angel (Thomas Halloway),5.777959770114946
38,Angel Dust (comics),6.359999999999999
39,Angel Salvadore,5.74358301158303
40,Angela (comics),5.465999999999999
41,Ani-Mator,5.186
42,Ani-Men,5.690269865067495
43,Anna Maria Marconi,5.614342948717927
44,Anna Watson (comics),5.721780821917814
45,Anne Marie Hoag,5.443333333333333
46,Anne Weying,5.556637500000006
47,Annex (comics),6.005000000000001
48,Annihilus,5.569521100047409
49,Anole (comics),5.465999999999999
50,Ant-Man,5.743571428571425
51,Anthem (comics),5.642857142857143
52,Anti-Venom (symbiote),4.837142857142857
53,Anya Corazon,5.563006843455943
54,Apache Kid (comics),5.802925430210326
55,Apocalypse (comics),5.465999999999999
56,Apollo (Marvel Comics),6.113333333333333
57,Aqueduct (comics),5.485000000000001
58,Arabian Knight (comics),5.8999999999999995
59,Aragorn (comics),5.755238095238104
60,Arcade (Marvel Comics),5.538223552894208
61,Archie Corrigan,5.636896551724142
62,Arclight (comics),5.569326923076915
63,Ares (Marvel Comics),5.421627027027021
64,Aries (comics),5.465999999999999
65,Arkon,5.549471830985913
66,Armadillo (comics),5.610688816855766
67,Armor (comics),5.701666666666667
68,Arnim Zola,5.59999464381361
69,Arno Stark,5.623088235294126
70,Arsenal (Marvel Comics),5.5156250000000036
71,Asbestos Man,5.700403587443952
72,Asp (comics),5.465999999999999
73,Atalanta (Pantheon),5.725555555555556
74,Athena (Marvel Comics),5.61135004042038
75,Attuma,5.645195143104953
76,Aurora (comics),5.584394313967857
77,Avalanche (comics),5.465999999999999
78,Awesome Android,5.675507518796995
79,Azazel (Marvel Comics),5.6506258503401385
80,Azzuri (comics),5.295000000000001
81,Baron Blood,5.531545972335227
82,Baron Brimstone,5.563902439024397
83,Baron Mordo,5.485947910357362
84,Baron Von Blitzschlag,5.642520661157025
85,Baron Zemo,5.621987951807234
86,Barracuda (comics),5.793333333333333
87,Bast (Marvel Comics),5.827718865598036
88,Bastion (comics),5.521301145662847
89,Batroc the Leaper,5.673252866626429
90,Battlestar (comics),5.435714285714285
91,Batwing (Marvel Comics),5.609401544401554
92,Baymax,5.862507396449717
93,Beast (comics),5.315
94,Beautiful Dreamer (Marvel Comics),5.888000000000012
95,Bedlam (comics),5.665991735537199
96,Beef (comics),6.88
97,Beetle (comics),5.626931738212509
98,Bela (comics),5.836153846153847
99,Belasco (Marvel Comics),5.58817054263567
100,Bella Donna (comics),5.570260416666684
101,Ben Reilly,5.455873632191964
102,Ben Urich,5.498977635782741
103,Bengal (comics),5.618072289156636
104,Benjamin Richard Parker,5.658895859473036
105,Bereet,5.847904761904764
106,Berzerker (comics),6.88
107,Beta Ray Bill,5.432130694891843
108,Bethany Cabe,5.5423774509804
109,Betsy Braddock,5.602179662562528
110,Betsy Ross (comics),5.43
111,Betty Brant,5.619811320754694
112,Betty Ross,5.5300387596899245
113,Beverly Switzler,5.574907834101392
114,Beyonder,5.506882078614255
115,Bi-Beast,5.5185516372795975
116,Big Ben Donovan,5.433519553072635
117,Big Bertha (comics),5.693560090702948
118,Big Man (comics),5.536894117647067
119,Big Wheel (comics),5.618571428571428
120,Billy Connors (comics),5.385000000000001
121,Bird-Brain (Marvel Comics),5.940083333333337
122,Bird-Man,5.94
123,Bishop (Marvel Comics),5.481351706036739
124,Bison (comics),5.201666666666667
125,Black Bolt,5.6287925636007845
126,Black Box (comics),5.64
127,Black Cat (Marvel Comics),5.678191604938064
128,Black Crow (comics),5.636253602305488
129,Black Fox (Raul Chalmers),5.74
130,Black Jack Tarr,5.534074074074081
131,Black Knight (comics),5.696
132,Black Mamba (comics),5.368333333333333
133,Black Marvel,5.6407764390897075
134,Black Panther (character),5.653777621534486
135,Black Racer (Marvel Comics),5.390000000000001
136,Black Rider (comics),5.47
137,Black Spectre (Carson Knowles),4.88
138,Black Swan (comics),5.524373795761089
139,Black Talon (comics),5.474873646209397
140,Black Tarantula,5.492057692307688
141,Black Tom Cassidy,5.546046025104604
142,Black Widow (Marvel Comics),5.433223905723923
143,Blackheart,5.591739130434789
144,Blacklight (MC2),5.367142857142858
145,Blackout (Marcus Daniels),5.628604910714297
146,Blackwing (character),5.609310850439895
147,Blade (character),5.49273309152976
148,Blake Tower,5.570203442879511
149,Blank (comics),6.0600000000000005
150,Blastaar,5.4368253968254034
151,Blazing Skull,5.60979430379748
152,Blindfold (comics),5.460542082738948
153,Blindspot (comics),5.5976880984952295
154,Bling!,5.485
155,Blink (comics),5.443333333333334
156,Bliss (Marvel Comics),6.88
157,Blizzard (Marvel Comics),5.489753972321881
158,Blob (comics),5.627777777777778
159,Blockbuster (Marauder),5.765057142857156
160,Blonde Phantom,5.759101401483925
161,Blood Brothers (comics),5.519301423027184
162,Bloodaxe (comics),5.465999999999999
163,Bloodhawk,5.517500000000007
164,Bloodscream,5.398509316770196
165,Bloodshed (comics),5.465999999999999
166,Bloodstrike (Marvel Comics),5.867116279069773
167,Blue Diamond (comics),5.7871428571428565
168,Blue Eagle (comics),5.595714285714285
169,Blue Marvel,5.70296453149814
170,Blue Shield (comics),5.750961038961048
171,Blue Streak (comics),5.668436532507744
172,"Bob, Agent of HYDRA",5.33375
173,Bolivar Trask,5.52564585115485
174,Bonebreaker,5.631417910447772
175,Boomerang (comics),5.465999999999999
176,Bova (comics),5.793062827225135
177,Box (comics),5.5585643564356495
178,Brain Drain (comics),5.424285714285714
179,Brainchild (comics),4.745
180,Breeze Barton,5.744645390070935
181,Brent Jackson,5.430498084291189
182,Brett Mahoney,5.486121546961337
183,Brian Banner,5.463748953974909
184,Brimstone Love,5.43
185,Brother Tode,6.88
186,Brother Voodoo,5.585997673065738
187,Brothers Grimm (comics),5.646191011235965
188,Bruce Banner,5.493
189,Brute (Reed Richards),5.795976190476204
190,Bucky (Marvel Comics),5.609878331402086
191,Bucky Barnes,5.627155944201433
192,Bug (comics),5.551295238095248
193,Bulldozer (comics),5.465999999999999
194,Bullseye (comics),5.3933333333333335
195,Bulwark (comics),6.88
196,Burglar (comics),5.465999999999999
197,Burner (comics),5.742
198,Bushman (comics),5.465999999999999
199,Bushmaster (Marvel Comics),5.50451786918408
200,Bushwacker (comics),5.444206349206358
201,Buzz (Marvel Comics),5.708258064516127
202,Byrrah,
203,Cable (comics),5.495000000000001
204,Caiman (comics),5.956799999999999
205,Caliban (comics),5.793333333333333
206,Callisto (comics),5.519262577532743
207,Calypso (comics),5.52057344064387
208,Cameron Hodge,5.49032734952483
209,Cammi (comics),5.68
210,Cancer (comics),6.47
211,Candra (comics),5.122999999999999
212,Cannonball (comics),5.706
213,Capricorn (comics),5.805000000000001
214,Captain (comics),5.748421052631579
215,Captain America,5.625710123816394
216,Captain Atlas,5.78394435351884
217,Captain Britain Corps,5.705555555555556
218,Captain Britain,5.658205312275696
219,Captain Fate,5.8
220,Captain Marvel (Marvel Comics),5.63737943056364
221,Captain Midlands,5.70043154761905
222,Captain Savage,5.45
223,Captain Ultra,5.799183359013877
224,Captain Universe,5.710611848494659
225,Captain Wonder (Timely Comics),5.758305084745773
226,Cardiac (comics),5.2316666666666665
227,Cardinal (comics),5.5055172413793185
228,Caretaker (comics),5.430767018216682
229,Carlie Cooper,5.482592313489067
230,Carnage (character),5.513088948787038
231,Carnivore (comics),5.677692307692308
232,Carol Danvers,5.794521501366903
233,Carrion (comics),5.38646179401993
234,Cassandra Nova,5.546343154246093
235,Catseye (comics),5.681021611001981
236,Cecilia Reyes,5.518273809523822
237,Celestials (comics),5.702500000000001
238,Cell (comics),6.359999999999999
239,Centurious,5.505108359133135
240,Centurius,5.429426877470357
241,Cerebra,5.43
242,Cerise (comics),5.61036190476192
243,Challenger (comics),5.465999999999999
244,Chamber (comics),5.455000000000001
245,Chameleon (comics),5.793333333333333
246,Champion of the Universe,5.599714738510314
247,Charcoal (comics),5.694782608695658
248,Charlie-27,5.732250639386185
249,Charlotte Jones (comics),5.79
250,Charon (Marvel Comics),5.516554621848743
251,Chase Stein,5.495775900400186
252,Chemistro,5.410996264009978
253,Cheshire Cat (comics),5.754391025641039
254,Chondu the Mystic,5.824406779661026
255,Chris Bradley,5.546164154103861
256,Ch_od,5.643883495145645
257,Cipher (comics),5.776050420168077
258,Citizen V,5.4937192118226585
259,Claire Temple,5.600800233644857
260,Clay Quartermain,5.465406871609407
261,Clea,5.671517205422341
262,Clive Reston,5.6078306878306945
263,Cloak and Dagger (comics),5.2316666666666665
264,Cloud 9 (comics),5.6580566037735895
265,Coachwhip (comics),5.486
266,Coal Tiger,5.7613522012578695
267,Cobalt Man,4.69
268,Cobra (Marvel Comics),5.558956250000024
269,Cockroach Hamilton,5.473010033444827
270,Coldblood,5.571542649727783
271,Collective Man,5.636322869955172
272,Collector (comics),5.351666666666667
273,Colleen Wing,5.607734706238642
274,Colossus (comics),5.465999999999999
275,Comanche (comics),5.425000000000021
276,Comet Man,5.647383512544805
277,Commander Kraken,5.616329966329975
278,Conan (Marvel Comics),5.844285714285715
279,Condor (comics),5.5471038251366185
280,Conquest (comics),4.66
281,Constrictor (comics),5.465999999999999
282,Contemplator (Marvel Comics),5.746
283,Controller (Marvel Comics),5.519934853420201
284,Copperhead (Marvel Comics),5.666095380029825
285,Corruptor (comics),5.283333333333334
286,Corsair (comics),5.5145183486238505
287,Corvus Glaive,5.660268456375849
288,Cosmo the Spacedog,5.686444212721598
289,Cottonmouth (Cornell Cottonmouth),5.266666666666667
290,Cowgirl (comics),5.735714285714287
291,Crime Master,5.358300359712215
292,Crimson Cavalier,5.894285714285714
293,Crimson Commando,5.566374663072788
294,Crimson Curse,4.864000000000001
295,Crimson Dynamo,5.569728283244138
296,Crippler (comics),5.465999999999999
297,Crossbones (comics),5.465999999999999
298,Crossfire (comics),5.2562500000000005
299,Crusader (Marvel Comics),5.590176470588239
300,Crusaders (Marvel Comics),5.845907692307695
301,Crusher (comics),5.584672304439755
302,Crystal (comics),5.6450000000000005
303,Cullen Bloodstone,5.4638095238095294
304,Cyber (Marvel Comics),5.463304410701392
305,Cyclone (Marvel Comics),5.5274174528302025
306,Cyclops (Marvel Comics),5.492798827927595
307,Cypher (comics),5.733750000000001
308,Cyttorak,5.529798488664987
309,Dagger (comics),5.824444444444444
310,Daimon Hellstrom,5.521397357723581
311,Daisy Johnson,5.694684860298877
312,Daken,5.483425648702574
313,Dakimh the Enchanter,5.643252279635264
314,Dakota North (comics),5.4750000000000005
315,Dallas Riordan,5.532507645259942
316,Damage Control (comics),5.449265392781295
317,Damage Control,4.246666666666667
318,Damian Tryp,5.3133333333333335
319,Damon Dran,5.48429963459198
320,Daniel Drumm,5.502337883959047
321,Daniel Whitehall,5.915
322,Danielle Moonstar,5.502348743406732
323,Daredevil (Marvel Comics character),5.594692396676643
324,Dark Beast,5.222244897959164
325,Dark Riders (comics),5.4125000000000005
326,Darkdevil,5.71754237288137
327,Darkhawk,5.513311884935622
328,Darkoth,5.53418128654971
329,Darkstar (Marvel Comics),5.6468645016797465
330,Darren Cross,5.70364157119477
331,Darwin (comics),5.3933333333333335
332,David Griffith (comics),
333,David Moreau,5.635102564102565
334,David North (comics),5.478571428571428
335,Dazzler (Marvel Comics),5.661753718436466
336,Deacon Frost,5.494888628370464
337,Dead Girl,5.774117647058823
338,Deadpool,5.593275908844105
339,Death (Marvel Comics),5.428416087388303
340,Death Adder (comics),4.8116666666666665
341,Death Metal (comics),5.066245733788402
342,Death Squad (comics),5.1066666666666665
343,Death Web (comics),5.663333333333333
344,Deathbird,5.515406626506033
345,Deathlok (Michael Peterson),5.62
346,Deathlok,5.5572428419936255
347,Deathwatch (comics),5.3407929515418555
348,Death_s Head,5.324890083048367
349,Deborah Risman,5.47357142857143
350,Debra Whitman,5.626733668341721
351,Debrii,5.605222405271842
352,Delilah (comics),5.972727272727272
353,Delphi (Pantheon),5.72625
354,Delphyne Gorgon,5.628072916666678
355,Demogoblin,5.461591784338917
356,Demolition Man (comics),5.609137614678899
357,Demon Bear,5.5682407407407535
358,Desak,5.610038461538466
359,Destiny (Irene Adler),5.661399082568801
360,Destroyer (Keen Marlow),5.551666666666667
361,Detroit Steel,5.532620120120095
362,Devastator (comics),5.6244871794871845
363,Devil Dinosaur,5.456366978609619
364,Devil-Slayer (comics),4.895
365,Devos the Devastator,5.579157509157512
366,Dexter Bennett,5.493750000000001
367,Diablo (Marvel Comics),5.612636861313861
368,Diamond Lil (Marvel Comics),5.587777777777778
369,Diamondback (Willis Stryker),5.393762486126536
370,Diamondhead (comics),5.566655052264809
371,Digger (Marvel Comics),5.557880539499041
372,Digitek (comics),5.572155388471177
373,Dinah Soar,5.728576923076931
374,Dino Manelli,5.02125
375,Dionysus (Marvel Comics),6.113333333333333
376,Dirk Anger,5.4725
377,Dirtnap (comics),5.122999999999999
378,Dmitri Bukharin,5.578
379,Doc Samson,5.558177570093479
380,Doctor Bong,5.623708513708527
381,Doctor Demonicus,5.517950819672138
382,Doctor Doom,5.411396551724123
383,Doctor Druid,5.610936026936019
384,Doctor Faustus (comics),5.619881703470054
385,Doctor Minerva,5.749927623642948
386,Doctor Nemesis,5.4242704826038235
387,Doctor Octopus,5.504163211649165
388,Doctor Spectrum,5.7243230403800665
389,Doctor Strange,5.615340545482159
390,Dominic Fortune,5.674259102455548
391,Domino (comics),5.465999999999999
392,Don Fortunato,5.449358974358975
393,Donald Pierce,5.5302591549295625
394,Donald _ Deborah Ritter,5.768475609756102
395,Doom 2099,5.422588679245275
396,Doop (comics),5.465999999999999
397,Doorman (comics),5.704628297362111
398,Dorma (comics),5.686098562628343
399,Dormammu,5.587027681660897
400,Doughboy (comics),5.465999999999999
401,DP 7,5.614118086696576
402,Dracula (Marvel Comics),5.548360254527653
403,Dragon Lord (comics),5.753676731793961
404,Dragon Man (comics),5.567142857142857
405,Drax the Destroyer,5.748514421177341
406,Dreadknight,5.552467532467547
407,Dreadnought (comics),5.628092909535459
408,Dredmund Druid,5.78
409,Druig,5.809600000000007
410,Dryad (comics),5.849377162629759
411,Dum-Dum Dugan,5.236
412,Dusk (comics),5.4905390070922175
413,Dust (comics),5.155
414,Dweller-in-Darkness,5.351509433962275
415,D_Ken,5.116
416,D_Spayre,5.432734839476822
417,Earth Force (Marvel Comics),5.728
418,Ebon Samurai,5.595487465181064
419,Ebony Maw,5.649124854142373
420,Echo (Marvel Comics),5.727642474427672
421,Ectokid,5.708297872340435
422,Edwin Cord,5.422754880694152
423,Edwin Jarvis,5.5733149552033
424,Eel (comics),5.540048367593723
425,Egghead (Marvel Comics),5.596597701149429
426,Ego the Living Planet,5.6297399895995905
427,Eitri (comics),5.465999999999999
428,El Aguila,5.6417777777777856
429,Elders of the Universe,5.804083094555885
430,Electro (Marvel Comics),5.542771389922181
431,Elias Bogan,5.649292929292935
432,Elixir (comics),5.465999999999999
433,Elloe Kaifi,5.504990654205618
434,Elsa Bloodstone,5.572550269740098
435,Elsie-Dee,5.563427331887202
436,Elysius (comics),4.9275
437,Emma Frost,5.6103641392024155
438,Emma Steed,6.37
439,Empath (comics),5.544556135770239
440,Enchanters Three,5.676229508196725
441,Enchantress (Marvel Comics),5.686991747936961
442,Enclave (comics),5.563752860411892
443,Enforcer (comics),5.35646074646075
444,Ent (comics),5.779000000000001
445,Equinox (comics),5.688045977011507
446,Ereshkigal (Marvel Comics),5.723389830508479
447,Erg (comics),5.687925531914914
448,Eric Koenig,5.4507336343115265
449,Eric O_Grady,5.557189638318654
450,Eric the Red (comics),5.446
451,Erik Josten,5.599694019471478
452,Erik Killmonger,5.558827821011689
453,Erik Selvig,5.664425228891156
454,Eternity (comics),5.717065259867121
455,Ethan Edwards,5.701040145985416
456,Evangeline Whedon,5.620229885057477
457,Everyman (Marvel Comics),5.64997518610422
458,Ex Nihilo (comics),5.554949899799599
459,Executioner (comics),5.465999999999999
460,Exodus (comics),5.464371957156759
461,Ezekiel (comics),5.570980163360572
462,F.R.I.D.A.Y.,5.602532679738575
463,Fabian Cortez,5.352766295707475
464,Faiza Hussain,5.620863557858379
465,Falcon (comics),5.7183898473129595
466,Fancy Dan,6.3
467,Fandral,5.7388068605518265
468,Fantastic Force,5.870051546391757
469,Fantomex,5.4058684576192775
470,Farley Stillwell,5.60115830115832
471,Fasaud,5.220000000000001
472,Fatale (Marvel Comics),5.329597615499259
473,Father Time (Marvel Comics),5.777100213219623
474,Felicity Hardy,5.41
475,Femizons,5.785512465373973
476,Fenris (comics),5.512026286966051
477,Fenris Wolf (Marvel Comics),5.822121212121211
478,Fer-de-Lance (comics),5.5566666666666675
479,Feral (comics),5.465999999999999
480,Fin (comics),5.772681992337173
481,Fin Fang Foom,5.613320441988941
482,Finesse (character),5.594954954954962
483,Finn Cooley,5.627000000000001
484,Firebird (Marvel Comics),5.6577060322854695
485,Firebrand (Marvel Comics),5.516733921815897
486,Firelord (comics),5.692482993197297
487,Firepower (comics),5.391686893203891
488,Firestar (Marvel Comics),5.701666666666667
489,Fixer (comics),5.706
490,Fixx (Marvel comics),5.444999999999999
491,Flag-Smasher,5.576422924901197
492,Flash Thompson,5.544351993029808
493,Flashback (comics),5.497134831460668
494,Flatman (comics),5.465999999999999
495,Flex (comics),5.636015831134565
496,Flipside (comics),
497,Flux (comics),5.581250000000001
498,Flying Tiger (Marvel Comics),5.704274509803925
499,Foolkiller,5.458240608654282
500,Forbush Man,5.641472019464724
501,Force (comics),5.526055045871572
502,Forearm (comics),5.421202872531426
503,Foreigner (comics),5.465999999999999
504,Forge (comics),5.465999999999999
505,Forgotten One (comics),5.130000000000001
506,Foxbat (comics),5.195833333333334
507,Foxfire (comics),4.6066666666666665
508,Frankenstein_s Monster (Marvel Comics),5.454916714531871
509,Franklin Richards (Fantastic Four),5.3549999999999995
510,Franklin Storm,5.493628922237378
511,Freak (Marvel Comics),5.847499999999997
512,Freakshow (comics),5.605797101449284
513,Frederick Foswell,5.520000000000013
514,Free Spirit (comics),6.217419354838707
515,Freedom Ring,5.65740880503144
516,Frenchie (comics),5.795078534031419
517,Frenzy (comics),5.748333333333334
518,Freya (comics),5.465999999999999
519,Friction (comics),5.59
520,Friedrich Von Roehm,5.206666666666667
521,Frigga (Marvel Comics),5.755
522,Frog-Man,5.627789855072444
523,Fury (Marvel Comics),5.4049489216799165
524,Fusion (Marvel Comics),4.5200000000000005
525,Futurist (comics),5.72147982062781
526,G. W. Bridge,5.42351540616248
527,Gabe Jones,5.524931129476602
528,Gabriel Stacy and Sarah Stacy,5.553935986159156
529,Galactus,5.75964033539276
530,Gambit (Marvel Comics),5.585920473516417
531,Gamesmaster (comics),5.695285359801495
532,Gamma Corps,5.356620305980529
533,Gamora,5.632002374356911
534,Gardener (comics),6.366666666666667
535,Gargantua (comics),5.547441860465122
536,Gargoyle (comics),5.700725806451621
537,Garokk,5.544811463046764
538,Garrison Kane,5.4158659924146795
539,Gatecrasher (Marvel Comics),5.725555555555556
540,Gateway (comics),5.58701822916668
541,Gauntlet (comics),5.67
542,Gavel (comics),5.7
543,Geiger (comics),6.52
544,Gemini (Marvel Comics),5.565073529411774
545,Gene Nation,5.652
546,Genesis (Marvel Comics),5.619202334630359
547,Genis-Vell,5.723942857142875
548,Gentle (comics),5.8549999999999995
549,George Howe (comics),5.745000000000001
550,George Stacy,5.559374682257233
551,Gertrude Yorkes,5.5679674796747936
552,Ghaur,5.7047422680412465
553,Ghost (Marvel Comics),5.405275843599352
554,Ghost Rider 2099,5.456841269841262
555,Ghost Rider,5.432264150943405
556,Giant-Man,5.722921568627459
557,Gibbon (comics),5.465999999999999
558,Gibborim (comics),5.7540000000000004
559,Gideon (comics),5.45237218813907
560,Gideon Mace,5.479492063492071
561,Giganto,5.520409482758618
562,Gigantus,5.676
563,Gladiator (Melvin Potter),5.5212445730825035
